neighbourhood,date,forecast,lower_95,upper_95
Oakridge,2026-04-01,27.895621348203044,9.871955364261936,45.91928733214415
Oakridge,2026-05-01,26.796975066294,8.773309082352892,44.82064105023511
Oakridge,2026-06-01,27.093992481971053,9.070326498029946,45.11765846591216
Renfrew-Collingwood,2026-01-01,183.0270570074395,135.0293106891533,231.0248033257257
Renfrew-Collingwood,2026-02-01,155.13796205025773,107.14021573197154,203.13570836854393
Renfrew-Collingwood,2026-03-01,168.323248641632,120.32550232334582,216.3209949599182
Renfrew-Collingwood,2026-04-01,167.82511200418674,119.82736568590055,215.82285832247294
Renfrew-Collingwood,2026-05-01,185.71898192066564,137.72123560237947,233.71672823895182
Renfrew-Collingwood,2026-06-01,169.2213323471951,121.22358602890891,217.21907866548128
Riley Park,2026-01-01,46.83169905368059,20.147741521222358,73.51565658613882
Riley Park,2026-02-01,39.93178694949182,13.247829417033593,66.61574448195006
Riley Park,2026-03-01,49.13085658740837,22.446899054950137,75.8148141198666
Riley Park,2026-04-01,49.83151991427113,23.147562381812897,76.51547744672936
Riley Park,2026-05-01,46.13124710524097,19.447289572782744,72.8152046376992
Riley Park,2026-06-01,45.332934304922624,18.648976772464394,72.01689183738085
Shaughnessy,2026-01-01,18.583445060572718,3.5168537933627455,33.650036327782686
Shaughnessy,2026-02-01,9.483359880667276,0.0,24.54995114787725
Shaughnessy,2026-03-01,13.783383776662767,0.0,28.84997504387274
Shaughnessy,2026-04-01,15.383225076214154,0.31663380900418225,30.449816343424125
Shaughnessy,2026-05-01,16.183259132259124,1.116667865049152,31.249850399469096
Shaughnessy,2026-06-01,15.183287412570783,0.11669614536081063,30.249878679780757
South Cambie,2026-01-01,18.613602914738152,3.1063017742564707,34.12090405521983
South Cambie,2026-02-01,23.410766145740553,7.903465005258871,38.91806728622223
South Cambie,2026-03-01,29.315216375417716,13.807915234936035,44.8225175158994
South Cambie,2026-04-01,26.81386875025152,11.306567609769838,42.3211698907332
South Cambie,2026-05-01,27.014316852957958,11.507015712476276,42.52161799343964
South Cambie,2026-06-01,22.91398987785657,7.406688737374887,38.42129101833825
Stanley Park,2026-01-01,9.449272526986464,0.0,21.738574712125207
Stanley Park,2026-02-01,8.749315022563614,0.0,21.03861720770236
Stanley Park,2026-03-01,9.249341829726333,0.0,21.538644014865078
Stanley Park,2026-04-01,11.249211750114501,0.0,23.538513935253246
Stanley Park,2026-05-01,16.34935243621819,4.060050251079446,28.638654621356935
Stanley Park,2026-06-01,19.649171962449476,7.359869777310731,31.93847414758822
Strathcona,2026-01-01,187.2441491411704,135.15193400536347,239.33636427697732
Strathcona,2026-02-01,171.15049957805817,119.05828444225125,223.2427147138651
Strathcona,2026-03-01,194.36475387353994,142.27253873773302,246.45696900934686
Strathcona,2026-04-01,198.27733141905216,146.18511628324524,250.36954655485908
Strathcona,2026-05-01,194.37769848786556,142.28548335205863,246.46991362367248
Strathcona,2026-06-01,208.77812767706723,156.6859125412603,260.8703428128741
Sunset,2026-01-01,116.59192703967861,86.67584139893094,146.50801268042628
Sunset,2026-02-01,99.58934332721489,69.67325768646722,129.50542896796256
Sunset,2026-03-01,113.58997249449348,83.67388685374581,143.50605813524115
Sunset,2026-04-01,112.89355792695365,82.97747228620598,142.80964356770133
Sunset,2026-05-01,118.49771515539314,88.58162951464547,148.4138007961408
Sunset,2026-06-01,108.69876607010865,78.78268042936098,138.61485171085633
Victoria-Fraserview,2026-01-01,38.97801633504044,21.692729934754947,56.26330273532592
Victoria-Fraserview,2026-02-01,35.07807633206245,17.792789931776962,52.36336273234794
Victoria-Fraserview,2026-03-01,39.17789833883688,21.892611938551394,56.46318473912237
Victoria-Fraserview,2026-04-01,40.57785660798967,23.292570207704184,57.86314300827516
Victoria-Fraserview,2026-05-01,40.17783509085439,22.892548690568898,57.46312149113987
Victoria-Fraserview,2026-06-01,41.97783827721491,24.692551876929418,59.2631246775004
West End,2026-01-01,207.18894314422488,150.81008506560306,263.5678012228467
West End,2026-02-01,165.0002717239183,108.62141364529649,221.37912980254012
West End,2026-03-01,191.00329048379047,134.62443240516865,247.38214856241228
West End,2026-04-01,181.60010222498497,125.22124414636315,237.97896030360678
West End,2026-05-01,202.36674565181642,145.9878875731946,258.74560373043823
West End,2026-06-01,192.35746992285763,135.97861184423581,248.73632800147945
West Point Grey,2026-01-01,18.61636412488128,2.562832729309175,34.66989552045338
West Point Grey,2026-02-01,14.415782843114537,0.0,30.469314238686643
West Point Grey,2026-03-01,17.215362947486035,1.1618315519139308,33.268894343058136
West Point Grey,2026-04-01,16.3156131366291,0.26208174105699555,32.369144532201204
West Point Grey,2026-05-01,24.916418609863353,8.862887214291248,40.96995000543546
West Point Grey,2026-06-01,26.61790493382602,10.564373538253914,42.67143632939812
