TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,8,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,8,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Mischief,2026,1,19,7,0,E 3RD AVE / VICTORIA DR,Grandview-Woodland,495212.8042,5457224.0661
Mischief,2026,1,7,8,30,E 49TH AVE / FRASER ST,Sunset,493395.1364,5452521.6609
Mischief,2026,1,26,0,1,E 4TH AVE / ONTARIO ST,Mount Pleasant,492381.6348,5457184.581
Mischief,2026,1,13,23,45,E 8TH AVE / SCOTIA ST,Mount Pleasant,492801.4891,5456771.1278
Mischief,2026,1,8,19,19,E BROADWAY AVE / RUPERT ST,Hastings-Sunrise,497539.1887,5456571.0572
Mischief,2026,2,1,14,45,E CORDOVA ST / GORE AVE,Strathcona,492902.2756,5458837.7713
Mischief,2026,1,26,11,50,E CORDOVA ST / JACKSON AVE,Strathcona,493208.2843,5458829.1022
Mischief,2026,2,3,19,0,E CORDOVA ST / JACKSON AVE,Strathcona,493208.2843,5458829.1022
Mischief,2026,2,1,15,0,E HASTINGS ST / GORE AVE,Strathcona,492911.3556,5458733.3363
Mischief,2026,1,2,22,7,E HASTINGS ST / MAIN ST,Strathcona,492749.7912,5458737.3828
Mischief,2026,2,8,12,39,E HASTINGS ST / PRINCESS AVE,Strathcona,493347.6087,5458719.8513
Mischief,2026,1,6,7,31,E HASTINGS ST / VERNON DR,Strathcona,494242.7222,5458709.8363
Mischief,2026,1,29,10,8,E PENDER ST / JACKSON AVE,Strathcona,493201.5345,5458617.197
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,22,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,2,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,17,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,11,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,12,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,2,6,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,13,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,2,8,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,22,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,28,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,19,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,6,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,27,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,West End,0.0,0.0
Offence Against a Person,2026,1,24,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,20,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,11,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,28,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,23,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,11,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,18,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,28,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,19,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,22,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,19,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,22,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,3,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,4,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,11,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,8,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,1,23,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,13,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,27,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,18,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,27,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,12,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,30,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,6,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,13,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,29,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,29,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,29,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Strathcona,0.0,0.0
Offence Against a Person,2026,1,17,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,26,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,1,18,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,2,6,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,12,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,19,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,1,8,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,2,11,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,6,0,0,OFFSET TO PROTECT PRIVACY,Grandview-Woodland,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,24,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,17,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,19,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,12,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,17,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,13,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Victoria-Fraserview,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,1,21,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,8,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,31,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Kensington-Cedar Cottage,0.0,0.0
Offence Against a Person,2026,2,6,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,2,10,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Sunset,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,5,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Killarney,0.0,0.0
Offence Against a Person,2026,1,16,0,0,OFFSET TO PROTECT PRIVACY,Renfrew-Collingwood,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,West Point Grey,0.0,0.0
Offence Against a Person,2026,1,20,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,1,30,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,2,6,0,0,OFFSET TO PROTECT PRIVACY,Arbutus Ridge,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,1,1,0,0,OFFSET TO PROTECT PRIVACY,Kitsilano,0.0,0.0
Offence Against a Person,2026,2,7,0,0,OFFSET TO PROTECT PRIVACY,Shaughnessy,0.0,0.0
Offence Against a Person,2026,2,8,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,1,18,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,2,11,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,1,24,0,0,OFFSET TO PROTECT PRIVACY,Hastings-Sunrise,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,1,26,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,1,7,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,2,5,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,2,4,0,0,OFFSET TO PROTECT PRIVACY,Shaughnessy,0.0,0.0
Offence Against a Person,2026,1,10,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,1,23,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,1,4,0,0,OFFSET TO PROTECT PRIVACY,Shaughnessy,0.0,0.0
Offence Against a Person,2026,1,8,0,0,OFFSET TO PROTECT PRIVACY,Oakridge,0.0,0.0
Offence Against a Person,2026,1,25,0,0,OFFSET TO PROTECT PRIVACY,Oakridge,0.0,0.0
Offence Against a Person,2026,2,11,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,1,9,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,2,2,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,1,14,0,0,OFFSET TO PROTECT PRIVACY,Fairview,0.0,0.0
Offence Against a Person,2026,1,8,0,0,OFFSET TO PROTECT PRIVACY,Riley Park,0.0,0.0
Offence Against a Person,2026,2,1,0,0,OFFSET TO PROTECT PRIVACY,Central Business District,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Marpole,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Riley Park,0.0,0.0
Offence Against a Person,2026,1,3,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,1,15,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,2,9,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
Offence Against a Person,2026,2,12,0,0,OFFSET TO PROTECT PRIVACY,Mount Pleasant,0.0,0.0
